id,command,serving_size,nutrition
615824c3-500f-4bcc-9ce3-30e49672dc21,,,"Carbs: , Fiber: , Sodium: , Sugars: , Protein: , Calories: , Total_fat: , Saturated_fat: , Total_servings: 20"
b35aedcb-b9e5-43e4-a8bd-4fbe1b340fb6,,,"Carbs: , Fiber: , Sodium: , Sugars: , Protein: , Calories: , Total_fat: , Saturated_fat: , Total_servings: 20"
f3675b00-7f3c-4222-b5c8-58576f22394b,,,"Carbs: , Fiber: , Sodium: , Sugars: , Protein: , Calories: , Total_fat: , Saturated_fat: , Total_servings: 20"
68b1f314-d303-4429-bb42-d4c7cbbd9bec,,,"Carbs: , Fiber: , Sodium: , Sugars: , Protein: , Calories: , Total_fat: , Saturated_fat: , Total_servings: 20"
031d0c4a-11ea-49ab-aae9-b7b7d05bd29e,,5g,"Carbs: 1.51g, Fiber: 0.64g, Sodium: 0.08g, Sugars: 0.31g, Protein: 0.7g, Calories: 20.88kcal, Total_fat: 1.49g, Saturated_fat: 0.75g, Total_servings: 20"
ba2fe49f-75f1-4db0-b2d0-edd26d81cc62,,5g,"Carbs: 2.47g, Fiber: 0.91g, Sodium: 0.11g, Sugars: 0.52g, Protein: 0.63g, Calories: 14.95kcal, Total_fat: , Saturated_fat: , Total_servings: 20"
d40333db-fc45-4a73-9329-eb54ef6a85b5,,5g,"Carbs: 2.09g, Fiber: 1.06g, Sodium: 0.1g, Sugars: 0.18g, Protein: 0.84g, Calories: 20.56kcal, Total_fat: 0.5g, Saturated_fat: 0.13g, Total_servings: 20"
285b7b12-59d1-47a0-afb2-986c6c72d045,,5g,"Carbs: 1.02g, Fiber: 0.64g, Sodium: 0.07g, Sugars: 0.2g, Protein: 1.24g, Calories: 25.87kcal, Total_fat: 2.04g, Saturated_fat: 0.36g, Total_servings: 20"
6bb57327-d5c7-4a3f-b645-031fe220a609,,5g,"Carbs: 1.41g, Fiber: 0.74g, Sodium: 0.17g, Sugars: 0.23g, Protein: 0.36g, Calories: 21.5kcal, Total_fat: 1.73g, Saturated_fat: 1.54g, Total_servings: 20"
d4eb273f-08a8-4f6b-bfac-8c4dce9c5511,,5g,"Carbs: 2.39g, Fiber: 1.33g, Sodium: 0.13g, Sugars: 0.23g, Protein: 0.81g, Calories: 12.71kcal, Total_fat: 0.2g, Saturated_fat: 0.05g, Total_servings: 20"
0219fa3e-9afc-4048-aba2-e9daa0fba81e,,5g,"Carbs: 2.23g, Fiber: 0.69g, Sodium: 0.13g, Sugars: 0.85g, Protein: 0.87g, Calories: 19.99kcal, Total_fat: 1.03g, Saturated_fat: 0.16g, Total_servings: 20"
2cf104b5-c88f-48a7-9e5e-741a20cc2c20,,Per 5g serving,"Carbs: 3.01g, Fiber: 0.83g, Sodium: 0.07g, Sugars: 0.1g, Protein: 0.58g, Calories: 16.96kcal, Total_fat: , Saturated_fat: , Total_servings: 20"
581f07ae-4d33-4fa1-8915-655e48c183c3,,5g,"Carbs: 1.85g, Fiber: 0.62g, Sodium: 0.22g, Sugars: 0.09g, Protein: 0.85g, Calories: 13.43kcal, Total_fat: 0.39g, Saturated_fat: 0.06g, Total_servings: 20"
3d01988a-ad7d-4114-908b-38098cd63bd3,,5g,"Carbs: 2.07g, Fiber: 0.94g, Sodium: 0.21g, Sugars: 0.08g, Protein: 0.65g, Calories: 11.21kcal, Total_fat: 0.22g, Saturated_fat: 0.05g, Total_servings: 20"
5fd5ad76-ce6b-4a27-b189-bd32180f3c7c,,5g,"Carbs: 3.21g, Fiber: 0.84g, Sodium: 0.05g, Sugars: 0.17g, Protein: 0.69g, Calories: 16.39kcal, Total_fat: 0.2g, Saturated_fat: 0.02g, Total_servings: 20"
5d7272ee-37e6-43c3-bb9d-551dc2d7da38,,5g,"Carbs: 2.53g, Fiber: 0.6g, Sodium: 0.06g, Sugars: 0.45g, Protein: 0.9g, Calories: 18kcal, Total_fat: 0.55g, Saturated_fat: 0.31g, Total_servings: 20"
38b67b7f-2441-4024-88f1-f3f0c0a29d00,,5g,"Carbs: 3g, Fiber: 1.05g, Sodium: 0.03g, Sugars: 0.33g, Protein: 1.06g, Calories: 17.73kcal, Total_fat: 0.16g, Saturated_fat: 0.02g, Total_servings: 20"
079bee5b-7f2a-4c6c-80ea-e5191c27babe,,,"Carbs: , Fiber: , Sodium: , Sugars: , Protein: , Calories: , Total_fat: , Saturated_fat: , Total_servings: 20"
8feb890d-ff9a-459b-a3db-424bc6f80ccc,,,"Carbs: , Fiber: , Sodium: , Sugars: , Protein: , Calories: , Total_fat: , Saturated_fat: , Total_servings: 20"
21685c21-498d-43b2-88ea-5a64964d64e8,,40g,"Carbs: 22.92g, Fiber: 7.42g, Sodium: 1.13g, Sugars: 2.16g, Protein: 5.03g, Calories: 127.92kcal, Total_fat: 3.08g, Saturated_fat: 1.3g, Total_servings: 20"
5aed9bb9-775d-4d2a-b4cd-8c39c0e7b887,,,"Carbs: , Fiber: , Sodium: , Sugars: , Protein: , Calories: , Total_fat: , Saturated_fat: , Total_servings: 20"
ab02aab0-ea5a-4585-86e5-1de447dc12df,,,"Carbs: , Fiber: , Sodium: , Sugars: , Protein: , Calories: , Total_fat: , Saturated_fat: , Total_servings: 20"
81095baa-0101-4c50-8749-051c376d8fd8,,40g,"Carbs: 10.68g, Fiber: 3.54g, Sodium: 0.26g, Sugars: 2.49g, Protein: 8.58g, Calories: 172.38kcal, Total_fat: 11.38g, Saturated_fat: 1.92g, Total_servings: 20"
9b6b3df2-7a39-407f-b320-9d6f6e9b0db9,,40g,"Carbs: 23.55g, Fiber: 4.57g, Sodium: 0.04g, Sugars: 0.89g, Protein: 7.23g, Calories: 146.89kcal, Total_fat: 2.84g, Saturated_fat: 0.42g, Total_servings: 20"